Year,State,Exam ,School_ID,Avg_marks,Min_marks,Max_marks,pass_percentage,Exam_comparison,Yearly_Improvement,Average_attendance,school_type
2023,Andhra Pradesh,Quarterly,101,53.01,32,97,61.67,1.4,3.9,96.4,Government
2023,Andhra Pradesh,Quarterly,101,67.13,36,83,66.08,0.4,2.1,89.5,Government
2023,Andhra Pradesh,Quarterly,101,92.72,47,82,71.17,0.4,4.7,87.2,Private
2023,Andhra Pradesh,Quarterly,101,89.94,68,85,62.6,3.2,4.5,83.5,Government
2023,Andhra Pradesh,Quarterly,101,78.45,50,88,68.98,-0.9,4.7,92.9,Aided
2023,Andhra Pradesh,Quarterly,101,70.93,32,92,76.19,1.6,3.9,82.1,Private
2023,Andhra Pradesh,Quarterly,101,84.77,34,99,58.87,4.4,4.4,94.5,Aided
2023,Andhra Pradesh,Quarterly,101,67.98,34,94,61.21,-3.2,4.9,93.6,Government
2023,Andhra Pradesh,Quarterly,101,85.5,44,98,51.05,-2.8,2.4,91.8,Government
2023,Andhra Pradesh,Quarterly,101,65.26,34,89,97.75,-4.5,2.8,91.3,Aided
2023,Andhra Pradesh,Quarterly,101,54.12,43,82,74.18,-0.4,2.6,76.7,Government
2023,Andhra Pradesh,Quarterly,101,53.21,59,81,67.66,2.3,4,96.1,Private
2023,Andhra Pradesh,Quarterly,101,94.5,46,93,80.06,3.7,2.8,94.6,Government
2023,Andhra Pradesh,Quarterly,101,40.88,54,88,95.08,0,3.3,84.3,Government
2023,Andhra Pradesh,Quarterly,101,59.76,60,85,91,1.2,4.9,95.5,Aided
2023,Andhra Pradesh,Quarterly,101,74.36,64,91,62.13,1.9,2.4,87.6,Private
2023,Andhra Pradesh,Quarterly,101,66.05,62,83,65.26,-4.4,3,78.3,Private
2023,Andhra Pradesh,Quarterly,101,88.89,31,95,98.51,-0.8,3.7,85,Private
2023,Andhra Pradesh,Quarterly,101,41.14,34,89,81.09,-3.6,4.3,80,Private
2023,Andhra Pradesh,Quarterly,101,89.6,58,98,53.31,3.6,2.9,77.6,Government
2023,Andhra Pradesh,Quarterly,101,60.59,51,83,82.7,3,3.9,79.5,Government
2023,Andhra Pradesh,Quarterly,101,70.59,61,81,58.45,-1.2,2.2,94.8,Government
2023,Andhra Pradesh,Quarterly,101,81.47,70,95,57.31,1.1,4.9,86.5,Aided
2023,Andhra Pradesh,Quarterly,101,64.27,62,81,65.1,-1.7,2.3,84.9,Aided
2023,Andhra Pradesh,Quarterly,101,85.32,61,100,62.89,3.5,3.1,80.9,Government
2023,Andhra Pradesh,Quarterly,101,73.74,54,83,58.56,1.7,3.8,92.5,Private
2023,Andhra Pradesh,Quarterly,101,42.39,46,94,99.5,-3.9,3.7,87.7,Private
2023,Andhra Pradesh,Quarterly,101,40.07,48,84,76.63,-4.6,3.9,86.4,Government
2023,Andhra Pradesh,Quarterly,101,49.44,55,97,56.32,-4.7,3.9,76.3,Aided
2023,Andhra Pradesh,Quarterly,101,91.22,32,89,86.75,-1.1,3.1,86.7,Government
2023,Andhra Pradesh,Quarterly,101,73.24,66,95,84.69,-3.6,2.8,85.6,Private
2023,Andhra Pradesh,Quarterly,101,72.19,68,81,58.81,-3.5,2.1,90.5,Government
2023,Andhra Pradesh,Quarterly,101,85.92,60,99,83.08,2.9,2.4,85.3,Aided
2023,Andhra Pradesh,Quarterly,101,65.76,62,80,53.81,-0.5,3.3,80.7,Government
2023,Andhra Pradesh,Quarterly,101,62.81,33,81,64,-1.7,4.5,85.8,Private
2023,Andhra Pradesh,Quarterly,101,58.26,60,95,51.72,-2.8,4.4,78.4,Government
2023,Andhra Pradesh,Quarterly,101,78.21,53,89,79.78,1.1,2,97.9,Private
2023,Andhra Pradesh,Quarterly,101,49.17,43,90,61.3,4.4,4.6,84,Private
2023,Andhra Pradesh,Quarterly,101,84.02,53,85,67.36,-4.1,3.6,94.1,Government
2023,Andhra Pradesh,Quarterly,101,66.77,48,91,68.88,2,3.9,94.1,Aided
2023,Andhra Pradesh,Quarterly,101,93.52,66,84,78.29,-2.2,4.5,94.3,Private
2023,Andhra Pradesh,Quarterly,101,52.39,45,90,59.64,-0.1,2.4,85.5,Government
2023,Andhra Pradesh,Half Yearly,101,86.13,53,90,60.18,3.4,4.5,76.3,Government
2023,Andhra Pradesh,Half Yearly,101,57.98,49,87,90.68,-0.6,2.5,86.1,Aided
2023,Andhra Pradesh,Half Yearly,101,67.07,64,92,89.8,4.7,3.7,76.6,Government
2023,Andhra Pradesh,Half Yearly,101,89.7,57,86,55.79,-2.9,4.8,95.4,Aided
2023,Andhra Pradesh,Half Yearly,101,84.3,32,99,51.34,4.5,3.1,93.1,Aided
2023,Andhra Pradesh,Half Yearly,101,67.02,45,89,74.2,3,3.1,90.7,Private
2023,Andhra Pradesh,Half Yearly,101,41.36,58,95,57.74,2.7,4.9,82.1,Private
2023,Andhra Pradesh,Half Yearly,101,57.87,46,80,83.21,0.9,3.2,75.5,Government
2023,Andhra Pradesh,Half Yearly,101,47.9,46,83,69.47,-1.2,3.6,80.4,Aided
2023,Andhra Pradesh,Half Yearly,101,49.9,66,91,88.27,-4.7,2.2,88,Government
2023,Andhra Pradesh,Half Yearly,101,92.31,42,92,83.78,2.4,3.6,81.5,Government
2023,Andhra Pradesh,Half Yearly,101,87.51,39,99,98.8,0.6,2.7,84,Private
2023,Andhra Pradesh,Half Yearly,101,81.23,67,91,69.61,0.1,3.7,90.3,Aided
2023,Andhra Pradesh,Half Yearly,101,47.3,42,95,88.97,-0.7,4.4,97.6,Aided
2023,Andhra Pradesh,Half Yearly,101,75.24,52,86,81.71,-2.5,4.9,76.2,Private
2023,Andhra Pradesh,Half Yearly,101,56.66,58,83,99.07,2.4,4.5,91.5,Aided
2023,Andhra Pradesh,Half Yearly,101,73.34,65,84,60.31,4.8,3.4,81.9,Private
2023,Andhra Pradesh,Half Yearly,101,63.36,49,82,83.69,0.4,3.8,92.9,Government
2023,Andhra Pradesh,Half Yearly,101,92.67,56,90,85.3,3.7,2.3,75.8,Government
2023,Andhra Pradesh,Half Yearly,101,77.36,68,97,83.25,0.7,4,82.6,Aided
2023,Andhra Pradesh,Half Yearly,101,90.7,36,84,90.92,0.6,4.5,85.1,Government
2023,Andhra Pradesh,Half Yearly,101,70.21,40,96,99.62,-4.5,2.6,92.1,Government
2023,Andhra Pradesh,Half Yearly,101,74.08,50,84,90.58,0,4.7,75.7,Private
2023,Andhra Pradesh,Half Yearly,101,46.28,58,80,81.06,0.8,3.7,99.6,Government
2023,Andhra Pradesh,Half Yearly,101,73.75,48,93,79.81,-3.2,4.9,93.3,Private
2023,Andhra Pradesh,Half Yearly,101,79.48,49,85,83.24,-3,4.6,94.9,Aided
2023,Andhra Pradesh,Half Yearly,101,42.71,44,96,63.04,0.8,4.5,75.4,Government
2023,Andhra Pradesh,Half Yearly,101,89.9,44,82,72.83,-2.2,4.1,79.5,Aided
2023,Andhra Pradesh,Half Yearly,101,77.13,56,85,93.55,4.1,4.6,87.7,Government
2023,Andhra Pradesh,Half Yearly,101,52.53,66,91,73.01,-0.3,2.8,96.8,Private
2023,Andhra Pradesh,Half Yearly,101,47.48,60,95,74.52,4.2,2.3,88.2,Private
2023,Andhra Pradesh,Half Yearly,101,66.15,48,86,86.94,-2.7,3.8,95.3,Private
2023,Andhra Pradesh,Half Yearly,101,57.31,33,100,97.35,0.9,4.4,81.7,Government
2023,Andhra Pradesh,Half Yearly,101,90.23,54,85,83.65,-2.3,4.3,84.6,Government
2023,Andhra Pradesh,Half Yearly,101,91.12,44,91,90.25,-1.8,3.3,86.9,Private
2023,Andhra Pradesh,Half Yearly,101,75.69,56,91,78.27,-3.2,3.3,91,Private
2023,Andhra Pradesh,Half Yearly,101,92.98,42,87,74.73,-4.7,4.7,88,Aided
2023,Andhra Pradesh,Half Yearly,101,40.91,44,90,62.73,-3.6,4.9,92.4,Private
2023,Andhra Pradesh,Half Yearly,101,62.98,43,83,62.54,-2.7,4.4,78.4,Private
2023,Andhra Pradesh,Half Yearly,101,57.17,66,97,92.08,4.8,4.7,80,Aided
2023,Andhra Pradesh,Half Yearly,101,91.85,48,84,66.05,4.6,4.7,95,Private
2023,Andhra Pradesh,Half Yearly,101,52.18,54,87,94.77,1.3,3,99.3,Aided
2023,Andhra Pradesh,Half Yearly,101,42.63,47,85,67.18,2.4,3,78.6,Private
2023,Andhra Pradesh,Half Yearly,101,55.75,62,96,93.87,-3,4.2,96.2,Private
2023,Andhra Pradesh,Half Yearly,101,67.11,56,93,64.43,-2.7,2.3,94.4,Private
2023,Andhra Pradesh,Half Yearly,101,67.66,52,86,76.92,-3.5,3.1,89.4,Private
2023,Andhra Pradesh,Half Yearly,101,94.06,65,97,55.16,1.3,4.9,89.7,Private
2023,Andhra Pradesh,Half Yearly,101,82.86,64,86,92.06,2.3,4.7,85.5,Aided
2023,Andhra Pradesh,Half Yearly,101,61.19,61,81,80.02,4,4.2,82.2,Aided
2023,Andhra Pradesh,Half Yearly,101,68.88,48,97,80.28,-3.8,4.2,78.3,Government
2023,Andhra Pradesh,Half Yearly,101,83.81,62,90,58.99,-1.6,5,97.1,Private
2023,Andhra Pradesh,Half Yearly,101,54.43,63,100,63.85,-1.1,2.7,77.3,Aided
2023,Andhra Pradesh,Half Yearly,101,51.88,49,90,99.07,-2.5,4.9,95.3,Government
2023,Andhra Pradesh,Half Yearly,101,69.41,63,95,53.84,-1.6,2.7,85.9,Private
2023,Andhra Pradesh,Half Yearly,101,58.1,65,93,65.26,1.6,2.6,95.3,Private
2023,Andhra Pradesh,Half Yearly,101,85.14,51,83,68.04,-2.2,4,93.9,Government
2023,Andhra Pradesh,Half Yearly,101,62,36,86,57.12,0.9,4.2,86.8,Aided
2023,Andhra Pradesh,Half Yearly,101,50.71,65,86,67.58,1.7,3.8,96.9,Government
2023,Andhra Pradesh,Half Yearly,101,59.35,41,91,61.16,1.4,2.7,80.7,Aided
2023,Andhra Pradesh,Half Yearly,101,47.88,60,91,63.32,-1,3.8,90.7,Private
2023,Andhra Pradesh,Half Yearly,101,49.84,57,85,78.25,2.3,4.1,81.4,Private
2023,Andhra Pradesh,Half Yearly,101,54.51,49,89,61.04,2,3.8,92.6,Private
2023,Andhra Pradesh,Half Yearly,101,59.88,63,85,78.78,4.6,3.2,84.1,Government
2023,Andhra Pradesh,Half Yearly,101,60.4,62,88,74.83,-0.8,4.5,92.2,Government
2023,Andhra Pradesh,Half Yearly,101,50.16,69,82,59.49,-0.8,2.9,78.5,Aided
2023,Andhra Pradesh,Annual,101,80.96,63,84,60.8,-4.1,2.6,96.3,Aided
2023,Andhra Pradesh,Annual,101,83.53,32,87,51.73,-3,4.6,98.8,Government
2023,Andhra Pradesh,Annual,101,72.77,58,86,63.04,2.7,2.1,97.5,Aided
2023,Andhra Pradesh,Annual,101,87.27,49,80,79.19,4,4,76,Private
2023,Andhra Pradesh,Annual,101,66.43,48,92,83.68,4,4.9,98.2,Aided
2023,Andhra Pradesh,Annual,101,49.3,68,80,92.63,-2.6,2.6,83.7,Government
2023,Andhra Pradesh,Annual,101,81.12,62,89,78.31,-2.5,2.1,87.1,Aided
2023,Andhra Pradesh,Annual,101,69.95,58,95,59.86,-4.7,2.8,87.1,Private
2023,Andhra Pradesh,Annual,101,93.6,46,88,57.65,-4.1,2,76.6,Government
2023,Andhra Pradesh,Annual,101,64.19,54,94,81.81,-0.3,2.3,83.5,Government
2023,Andhra Pradesh,Annual,101,40.41,55,84,58.86,-0.6,4.8,93.8,Private
2023,Andhra Pradesh,Annual,101,69,41,84,94.05,-4.5,5,83.5,Government
2023,Andhra Pradesh,Annual,101,53.08,66,80,74.79,1.8,3.1,79.1,Government
2023,Andhra Pradesh,Annual,101,72.03,61,87,96.73,-1.1,2.4,93.1,Private
2023,Andhra Pradesh,Annual,101,77.94,60,96,83.74,3.1,2.3,80.9,Private
2023,Andhra Pradesh,Annual,101,60.03,51,83,57.93,-3.3,2.2,97.5,Aided
2023,Andhra Pradesh,Annual,101,62.79,66,85,65.34,4.9,3.9,93.6,Private
2023,Andhra Pradesh,Annual,101,67.58,51,98,78.64,-3.9,4.9,94.1,Government
2023,Andhra Pradesh,Annual,101,53.29,33,89,71.23,0.2,3.8,96.9,Aided
2023,Andhra Pradesh,Annual,101,68.17,66,83,74.34,3.8,2.2,85.7,Government
2023,Andhra Pradesh,Annual,101,44.35,65,90,71.86,2.6,2.3,94.4,Aided
2023,Andhra Pradesh,Annual,101,65.93,66,81,64.2,4,4.3,80.6,Private
2023,Andhra Pradesh,Annual,101,83.06,31,83,94.13,0.1,4.3,89.9,Aided
2023,Andhra Pradesh,Annual,101,87.98,69,92,66.52,2.6,4.7,78.2,Government
2023,Andhra Pradesh,Annual,101,86.05,52,84,84.68,-3.4,3,76.7,Private
2023,Andhra Pradesh,Annual,101,87.92,39,95,65.65,1.3,2.9,95.3,Aided
2023,Andhra Pradesh,Annual,101,84.45,43,100,94.8,1.8,2.2,77.6,Aided
2023,Andhra Pradesh,Annual,101,45.54,41,99,94.63,-0.4,2.2,84.8,Private
2023,Andhra Pradesh,Annual,101,73.92,63,85,79.47,0.1,4,93.2,Aided
2023,Andhra Pradesh,Annual,101,53.56,39,80,52.51,-0.3,2.9,92.7,Government
2023,Andhra Pradesh,Annual,101,63.69,37,99,58.92,-0.9,3.9,95.5,Aided
2023,Andhra Pradesh,Annual,101,86.58,31,90,90.09,4.7,2.3,86.9,Private
2023,Andhra Pradesh,Annual,101,93.57,35,87,72.65,-0.8,3.9,94.5,Private
2023,Andhra Pradesh,Annual,101,60.82,42,100,64.4,-1.8,4.1,75.3,Aided
2023,Arunachal Pradesh,Quarterly,102,86.26,55,84,69.29,-1.7,3.6,75.7,Private
2023,Arunachal Pradesh,Quarterly,102,71.08,68,83,57.97,3.4,3.2,84.6,Government
2023,Arunachal Pradesh,Quarterly,102,65.73,66,91,50.35,-4.2,4.7,76.8,Government
2023,Arunachal Pradesh,Quarterly,102,84.59,70,96,91.88,1.6,3.8,94.9,Private
2023,Arunachal Pradesh,Quarterly,102,48.47,66,93,53.7,4.7,2.1,79.4,Government
2023,Arunachal Pradesh,Quarterly,102,64.69,55,96,65.41,0.9,4.8,89.1,Government
2023,Arunachal Pradesh,Quarterly,102,67.78,42,85,90.91,-2.2,4.7,77.8,Government
2023,Arunachal Pradesh,Quarterly,102,85.39,56,85,56,0.2,4.3,90,Private
2023,Arunachal Pradesh,Quarterly,102,61.63,66,91,92.19,3.6,3.7,88.9,Government
2023,Arunachal Pradesh,Quarterly,102,81.78,69,82,59.64,-5,3.4,98.3,Private
2023,Arunachal Pradesh,Quarterly,102,51.68,31,99,69.37,-2,2.4,87.9,Government
2023,Arunachal Pradesh,Quarterly,102,69.31,34,98,82.08,-2.5,3.3,87.8,Aided
2023,Arunachal Pradesh,Quarterly,102,60.46,41,85,63.5,0.2,2.3,84.3,Aided
2023,Arunachal Pradesh,Quarterly,102,84.76,60,81,62.02,2.9,4.1,87.9,Private
2023,Arunachal Pradesh,Quarterly,102,59.64,41,89,93.6,-4.5,2.9,88.4,Private
2023,Arunachal Pradesh,Quarterly,102,65.68,66,91,64.01,0,2.5,87,Private
2023,Arunachal Pradesh,Quarterly,102,72.07,37,98,50.88,-4.4,2.1,95.5,Aided
2023,Arunachal Pradesh,Quarterly,102,81.02,57,92,99.77,4.9,4.3,81.4,Private
2023,Arunachal Pradesh,Quarterly,102,86.79,60,90,68.83,-0.5,4.6,89.4,Government
2023,Arunachal Pradesh,Quarterly,102,77.66,60,96,96.12,-3.3,2.3,80.5,Private
2023,Arunachal Pradesh,Quarterly,102,64.9,30,87,95.31,-3.3,3.3,79.9,Aided
2023,Arunachal Pradesh,Quarterly,102,75.03,68,88,84.42,-1.3,4.3,88.4,Aided
2023,Arunachal Pradesh,Quarterly,102,44.45,65,81,89.24,-1.6,4.3,94.9,Government
2023,Arunachal Pradesh,Quarterly,102,51.27,41,90,86.58,-3.2,4.5,94.9,Aided
2023,Arunachal Pradesh,Quarterly,102,51.59,54,86,62.97,-1.4,3.5,79.2,Government
2023,Arunachal Pradesh,Quarterly,102,76.47,53,96,80.18,3.2,3.7,91.6,Aided
2023,Arunachal Pradesh,Quarterly,102,89.47,36,92,69.42,-2.7,2.5,93.1,Aided
2023,Arunachal Pradesh,Quarterly,102,94.38,41,81,83.88,-1.4,3.1,86.3,Aided
2023,Arunachal Pradesh,Quarterly,102,59.91,31,98,99.01,1.8,3.2,91.9,Private
2023,Arunachal Pradesh,Quarterly,102,63.52,57,92,59.57,1.6,4.6,92.2,Aided
2023,Arunachal Pradesh,Quarterly,102,75.78,40,92,79.69,4.6,2.4,81.9,Private
2023,Arunachal Pradesh,Quarterly,102,44.77,66,86,62.76,1.7,4.6,85.5,Aided
2023,Arunachal Pradesh,Quarterly,102,74,30,90,71.67,-1.7,4,83.8,Aided
2023,Arunachal Pradesh,Quarterly,102,81.9,68,86,76.66,-0.7,3.5,99.6,Aided
2023,Arunachal Pradesh,Quarterly,102,50.81,65,89,58.08,2.2,4.9,77,Government
2023,Arunachal Pradesh,Quarterly,102,71.06,39,80,58.25,1.8,3.5,93.4,Aided
2023,Arunachal Pradesh,Quarterly,102,91.55,48,93,91.88,0.3,2.5,77.2,Aided
2023,Arunachal Pradesh,Quarterly,102,75.64,56,100,55.98,0.8,3.7,93.7,Aided
2023,Arunachal Pradesh,Quarterly,102,82.48,65,81,72.05,2.6,2.2,85.9,Aided
2023,Arunachal Pradesh,Quarterly,102,59.98,65,80,79.29,-0.6,2.4,95.8,Government
2023,Arunachal Pradesh,Quarterly,102,89.28,61,84,94.01,2.6,2.5,81,Government
2023,Arunachal Pradesh,Quarterly,102,47.16,57,84,84.4,0.1,3.9,80.9,Government
2023,Arunachal Pradesh,Quarterly,102,73.76,35,90,80.85,4,4.1,85.1,Private
2023,Arunachal Pradesh,Quarterly,102,90.2,67,99,99,-2.1,2.9,82,Aided
2023,Arunachal Pradesh,Quarterly,102,49.13,35,84,86.4,-1.6,3.9,79.2,Aided
2023,Arunachal Pradesh,Quarterly,102,90.46,40,87,95.38,1.8,3.7,89.5,Government
2023,Arunachal Pradesh,Quarterly,102,92.96,52,96,86.23,-4.3,3.3,93.7,Aided
2023,Arunachal Pradesh,Quarterly,102,87.42,48,81,52.83,4.8,2.9,88,Government
2023,Arunachal Pradesh,Quarterly,102,85.64,30,84,70.48,-0.3,3.2,82.1,Private
2023,Arunachal Pradesh,Quarterly,102,59.88,55,89,91.35,-1.6,2.4,80,Aided
2023,Arunachal Pradesh,Quarterly,102,42.76,44,82,81.29,1.9,2.9,78.3,Government
2023,Arunachal Pradesh,Quarterly,102,91.62,48,96,54.68,-0.6,4.2,75.6,Private
2023,Arunachal Pradesh,Quarterly,102,71.49,47,82,75.18,-1.6,2.5,96.2,Government
2023,Arunachal Pradesh,Quarterly,102,65.73,50,82,94.1,1.8,4.3,98,Aided
2023,Arunachal Pradesh,Quarterly,102,50.96,59,81,59.7,4.8,4.1,89,Aided
2023,Arunachal Pradesh,Quarterly,102,63.63,69,93,97.84,0.1,4.6,93.3,Government
2023,Arunachal Pradesh,Quarterly,102,54.18,57,89,64.62,4.9,2.3,75.7,Aided
2023,Arunachal Pradesh,Quarterly,102,48.11,31,99,91.25,0,2.9,79.4,Aided
2023,Arunachal Pradesh,Quarterly,102,87.53,48,91,97.4,2.8,2.5,99.5,Aided
2023,Arunachal Pradesh,Quarterly,102,79.25,31,82,64.02,5,4.6,77.2,Government
2023,Arunachal Pradesh,Quarterly,102,48.85,39,93,67.43,-0.8,3.5,95.6,Private
2023,Arunachal Pradesh,Quarterly,102,92.52,63,85,95.25,4.8,2.6,95.8,Private
2023,Arunachal Pradesh,Quarterly,102,80.8,62,85,74.98,3.2,3.5,95.9,Private
2023,Arunachal Pradesh,Quarterly,102,61.38,67,93,99.81,3.1,3.7,89.3,Private
2023,Arunachal Pradesh,Quarterly,102,44.7,51,96,97.07,1.6,2.2,91,Government
2023,Arunachal Pradesh,Quarterly,102,58.54,52,98,51.38,-0.4,2,88.1,Government
2023,Arunachal Pradesh,Quarterly,102,41.3,46,80,83.33,4.6,2.3,83.8,Aided
2023,Arunachal Pradesh,Quarterly,102,62.94,59,91,70.56,1,3,86.2,Aided
2023,Arunachal Pradesh,Quarterly,102,68.18,57,93,77.11,1,3.6,89.4,Private
2023,Arunachal Pradesh,Quarterly,102,62.27,59,81,84.76,-0.2,3.9,93.1,Government
2023,Arunachal Pradesh,Quarterly,102,71.11,57,99,97.7,0.2,3,97.5,Government
2023,Arunachal Pradesh,Quarterly,102,64.58,35,80,61.72,3.4,4.4,75.3,Aided
2023,Arunachal Pradesh,Quarterly,102,62.21,48,89,64.87,1.5,2.9,81.4,Government
2023,Arunachal Pradesh,Quarterly,102,42.92,67,81,97.78,0.2,3.5,80.8,Private
2023,Arunachal Pradesh,Quarterly,102,59.33,33,83,90.15,-0.8,2.6,98.7,Aided
2023,Arunachal Pradesh,Quarterly,102,92.57,51,88,92.78,2.4,3.2,75.3,Government
2023,Arunachal Pradesh,Quarterly,102,84.61,38,85,97.85,-2.6,5,81.6,Aided
2023,Arunachal Pradesh,Quarterly,102,46.73,42,94,63.85,3.1,4.3,94.8,Aided
2023,Arunachal Pradesh,Quarterly,102,51.02,64,91,89.06,-2.4,4.5,82.5,Government
2023,Arunachal Pradesh,Quarterly,102,51.62,51,90,98.79,4.3,2.1,97,Aided
2023,Arunachal Pradesh,Quarterly,102,52.34,56,82,83.1,-4.2,2.3,84.4,Aided
2023,Arunachal Pradesh,Quarterly,102,63.68,61,99,81.11,-4.9,4,93.1,Government
2023,Arunachal Pradesh,Quarterly,102,63.89,59,89,87.34,-4,2.5,95.5,Private
2023,Arunachal Pradesh,Quarterly,102,77.25,39,98,57.81,-3.6,4.5,90.4,Private
2023,Arunachal Pradesh,Quarterly,102,80.57,60,81,55.05,-1.9,2.7,75.3,Aided
2023,Arunachal Pradesh,Quarterly,102,93.76,39,99,88.18,0.7,3.8,93.6,Aided
2023,Arunachal Pradesh,Quarterly,102,89.51,32,89,65.73,1.1,3.8,76.3,Aided
2023,Arunachal Pradesh,Half Yearly,102,66.69,59,84,86.98,-0.6,4.4,80.5,Aided
2023,Arunachal Pradesh,Half Yearly,102,46.38,43,96,63.15,-0.3,2.6,95.5,Government
2023,Arunachal Pradesh,Half Yearly,102,59.4,30,100,53.3,-3.3,2.3,83,Aided
2023,Arunachal Pradesh,Half Yearly,102,86.85,37,86,57.85,1.2,5,90.8,Private
2023,Arunachal Pradesh,Half Yearly,102,74.62,37,93,79.31,1.3,4.1,79.2,Government
2023,Arunachal Pradesh,Half Yearly,102,56.29,48,95,70.18,-2.7,3,80.5,Private
2023,Arunachal Pradesh,Half Yearly,102,48.47,52,92,65.54,3.3,2.6,76.6,Aided
2023,Arunachal Pradesh,Half Yearly,102,43.24,41,97,92.72,-0.3,3,95.6,Government
2023,Arunachal Pradesh,Half Yearly,102,79.05,37,97,62.74,4.5,2.5,89.7,Government
2023,Arunachal Pradesh,Half Yearly,102,73.22,63,98,64.6,-4.3,3.6,81.2,Government
2023,Arunachal Pradesh,Half Yearly,102,83.99,32,94,88.28,-1.3,4.4,85.8,Aided
2023,Arunachal Pradesh,Half Yearly,102,61.6,37,89,56.04,1.7,2.8,92.1,Government
2023,Arunachal Pradesh,Half Yearly,102,41.89,48,82,51.8,3,2.9,76.2,Private
2023,Arunachal Pradesh,Half Yearly,102,84.46,50,94,93.96,4.4,2.8,88.6,Private
2023,Arunachal Pradesh,Half Yearly,102,52.68,53,93,74.06,3.3,5,76.2,Aided
2023,Arunachal Pradesh,Half Yearly,102,76.32,48,86,83.26,0.9,3.3,85.7,Government
2023,Arunachal Pradesh,Half Yearly,102,78.32,36,82,67.97,4.9,2.3,85.8,Private
2023,Arunachal Pradesh,Half Yearly,102,78.58,64,93,50.94,0.4,4.6,89.6,Aided
2023,Arunachal Pradesh,Half Yearly,102,42.6,50,100,64.13,-3.1,3.6,88,Private
2023,Arunachal Pradesh,Half Yearly,102,42.12,38,93,57.88,0.5,4.7,78.3,Private
